"Semana 20";0;0;0;1;3;2;3;1;0;0;10
"Semana 21";0;1;0;0;0;2;4;2;0;1;10
"Semana 22";2;0;1;0;1;1;0;1;1;0;7
"Semana 23";0;0;0;0;0;1;1;0;0;0;2
"Semana 24";0;0;0;0;0;0;1;0;0;0;1
"Semana 25";0;0;0;1;0;0;0;0;0;0;1
"Semana 26";0;0;0;0;0;0;0;0;0;0;0
"Semana 27";0;0;0;0;0;0;0;0;0;0;0
"Semana 28";0;0;0;0;0;1;0;0;0;0;1
"Semana 29";0;0;1;0;0;0;0;0;0;0;1
"Semana 30";0;0;0;0;0;0;0;0;0;0;0
"Semana 31";0;0;0;0;0;0;0;0;0;0;0
"Semana 32";0;0;0;0;0;0;0;1;0;0;1
"Semana 33";0;0;0;0;0;1;1;0;0;0;2
"Semana 34";0;0;0;0;0;1;0;1;0;0;2
"Semana 35";0;0;0;0;0;0;0;1;0;0;1
"Semana 36";0;0;0;0;0;0;0;0;0;0;0
"Semana 37";0;0;0;0;0;0;0;0;0;0;0
"Semana 38";0;0;0;0;0;0;0;0;0;0;0
"Semana 39";0;0;0;0;0;0;1;0;0;0;1
"Semana 40";0;0;0;0;0;0;0;0;0;0;0
"Semana 41";0;0;0;0;0;0;0;0;0;0;0
"Semana 42";0;0;0;0;0;0;0;0;0;0;0
"Semana 43";0;0;0;0;0;0;0;0;0;0;0
"Semana 44";0;0;0;0;0;0;0;0;0;0;0
"Semana 45";0;0;0;0;0;0;0;0;0;0;0
"Semana 46";0;0;0;0;0;0;0;0;0;0;0
"Semana 47";0;0;0;0;0;0;0;0;0;0;0
"Semana 48";0;0;0;0;0;0;0;0;0;0;0
"Semana 49";0;0;0;0;0;0;0;0;0;0;0
"Semana 50";0;0;0;0;0;0;0;0;0;0;0
"Semana 51";0;0;0;0;0;0;0;0;0;0;0
"Semana 52";0;0;0;0;0;0;0;0;0;0;0
"Semana 53";0;0;0;0;0;0;0;0;0;0;0                              
"Semana 01";0;0;0;0;0;0;0;0;0;0;0					              
"Semana 02";0;0;0;0;0;0;0;0;0;0;0
"Semana 03";0;0;0;0;0;0;0;0;0;0;0
"Semana 04";0;0;0;0;0;0;0;0;0;0;0
"Semana 05";0;0;0;0;0;1;0;0;0;0;1
"Semana 06";0;0;0;0;0;0;0;0;0;0;0
"Semana 07";0;0;0;0;0;0;0;1;1;0;2
"Semana 08";0;0;0;0;0;2;0;1;0;0;3
"Semana 09";0;0;0;0;0;1;0;0;0;0;1
"Semana 10";0;0;0;0;0;0;0;0;0;0;0
"Semana 11";0;0;0;0;0;1;0;0;0;0;1
"Semana 12";0;0;0;0;0;0;1;0;0;0;1
"Semana 13";0;0;0;0;0;2;0;0;0;0;2
"Semana 14";0;0;0;0;1;2;1;2;1;0;7
"Semana 15";0;0;0;0;1;2;0;1;1;0;5
"Semana 16";0;0;0;1;0;1;1;1;0;1;5
"Semana 17";0;0;1;0;0;3;5;3;0;0;12
"Semana 18";0;0;0;0;0;4;2;2;0;0;8
"Semana 19";0;0;0;1;1;0;2;0;2;0;6
"Semana 20";0;0;0;0;0;0;1;1;0;0;2
"Semana 21";0;0;0;0;0;0;0;1;0;0;1
"Semana 22";0;0;0;0;0;1;0;1;0;0;2
"Semana 23";0;0;0;0;0;0;2;2;1;0;5
"Semana 24";0;0;0;0;0;0;1;0;0;0;1
"Semana 25";0;0;0;0;0;0;0;0;0;0;0
"Semana 26";0;0;0;0;0;0;0;0;0;0;0
"Semana 27";0;0;0;0;0;0;0;0;0;0;0
